,station_density,station_coverage,avg_ridership,transfer_station_ratio,avg_entrances,annual_total_crime_density,annual_property_crime_density,annual_violent_crime_density,poi_density_Residential,poi_density_Education Facility,poi_density_Cultural Facility,poi_density_Recreational Facility,poi_density_Social Services,poi_density_Transportation Facility,poi_density_Commercial,poi_density_Government Facility,poi_density_Religious Institution,poi_density_Health Services,poi_density_Public Safety,road_density,neighboring_crime_density,population_density,youth_population_pct,income_level
station_density,1.0,0.6841767379442858,0.6522825699266621,0.5834239810987913,0.7548326483938255,0.4151809699087847,0.4071348337478056,0.2596748652001672,-0.013338701277598302,0.08500205825280327,0.21885136515806747,0.02711820117909626,0.0890715093785865,0.057835325168506736,0.23715780014008775,0.058472636905322346,0.12667301896504318,0.02637986496149496,0.08810752701531875,-0.010318283547233511,0.34125470421534304,0.1613036718972172,0.12871227162686655,0.1202588259572659
station_coverage,0.6841767379442858,1.0,0.49663594638722663,0.4377646208351333,0.5971398568462342,0.477667920454768,0.4601608772884039,0.3663801504147582,-0.006028640380750014,0.1623042410875958,0.24320509290577827,0.06474714604091196,0.17150335414840645,0.04624544877090066,0.27533197162439554,0.07413035019231397,0.24086054339201074,0.05710041209658027,0.13028625815847533,-0.03855839051528668,0.48955068508812033,0.3542791057777501,0.19907658885338297,0.1064954174166495
avg_ridership,0.6522825699266621,0.49663594638722663,1.0,0.5304125318455117,0.8072370981581942,0.5075103012210088,0.5138842306587086,0.18455731141248313,-0.01551947945508741,0.08385977139990632,0.3173317979703515,0.0149679133166817,0.09635115455177302,0.08190719630017484,0.4001819531902948,0.11239051240178705,0.1580111249235241,0.03471264660653296,0.13438773914291027,-0.0485533405128618,0.39807827334627904,0.10136594727647111,0.11948320353038566,0.20057582376673586
transfer_station_ratio,0.5834239810987913,0.4377646208351333,0.5304125318455117,1.0,0.5995233659802955,0.3041817758454078,0.30358522750913647,0.1468202403360373,-0.02502571562904956,0.035456351470020624,0.11824547551311544,-0.010123343538995272,0.07197650965465666,0.0587904983827726,0.19021201048916372,0.05544389278084175,0.07528969655679395,0.0021353426920537413,0.11839868152331519,-0.01495042333181683,0.24095704434974943,0.0684102496152201,0.07662031336498021,0.07152468203368093
avg_entrances,0.7548326483938255,0.5971398568462342,0.8072370981581942,0.5995233659802955,1.0,0.38663869166934517,0.38436451694579066,0.19904557685665988,-0.019860893212751075,0.06881138224330102,0.24767817322397775,0.034692695395811074,0.08936695588725271,0.046782589391453355,0.30758182834673425,0.07700508097339924,0.13949065923078696,0.02268338056338368,0.1093399278558565,-0.018129891694336698,0.33171376251664764,0.10662875114695895,0.12625152280597018,0.12982919512446225
annual_total_crime_density,0.4151809699087847,0.477667920454768,0.5075103012210088,0.3041817758454078,0.38663869166934517,1.0,0.9944918614645948,0.5117465493803534,0.10423403713284861,0.19381276636825828,0.34071456666788685,0.08980999818490738,0.20011592819669544,0.045271028115003116,0.3707212884989551,0.0956191800732281,0.25833847330727877,0.04538808062877179,0.2289505242820608,-0.12831627833464615,0.5897557375071836,0.4158457936209029,0.20862349266511238,0.10826437208373642
annual_property_crime_density,0.4071348337478056,0.4601608772884039,0.5138842306587086,0.30358522750913647,0.38436451694579066,0.9944918614645948,1.0,0.4188784009358841,0.07372160041662289,0.18652564600063576,0.3453967864548993,0.07513766561977098,0.1755978975701174,0.047382921683065134,0.38216351753696126,0.09626162207691513,0.24610048075067673,0.03560410381222966,0.2125907610333237,-0.1187966649528749,0.5645707887733332,0.37827156000437695,0.1942146316670171,0.14719275152370254
annual_violent_crime_density,0.2596748652001672,0.3663801504147582,0.18455731141248313,0.1468202403360373,0.19904557685665988,0.5117465493803534,0.4188784009358841,1.0,0.2987392542883043,0.15016352111567782,0.12059741764653625,0.16217109100276209,0.29434264321028086,0.0038126098691163707,0.07918813096391675,0.03934971243944156,0.22085229516206936,0.10137512904324414,0.24092522305166797,-0.1379022897080337,0.48161419571970004,0.5020205634814668,0.21544955248954667,-0.2685744603089273
poi_density_Residential,-0.013338701277598302,-0.006028640380750014,-0.01551947945508741,-0.02502571562904956,-0.019860893212751075,0.10423403713284861,0.07372160041662289,0.2987392542883043,1.0,0.047488928000891266,-0.007253531849204145,0.13204260610241628,0.363785594934297,0.023548098464713285,-0.018987413272247657,0.0005790018524714513,0.05282373289807288,0.03115747575145387,0.06515508600605488,-0.07784276609456207,0.13120132119580216,0.19992272361208838,0.06517754078786445,-0.2179401553920433
poi_density_Education Facility,0.08500205825280327,0.1623042410875958,0.08385977139990632,0.035456351470020624,0.06881138224330102,0.19381276636825828,0.18652564600063576,0.15016352111567782,0.047488928000891266,1.0,0.13847105135663226,0.08745004263151773,0.1677040943686907,0.005881300354906366,0.03601791206570906,0.028084964601706047,0.215460430554869,0.1359519998192973,0.07687519404935345,-0.0818026258464982,0.3101604154675271,0.2334598043534775,0.30375600281412485,0.09416851042864967
poi_density_Cultural Facility,0.21885136515806747,0.24320509290577827,0.3173317979703515,0.11824547551311544,0.24767817322397775,0.34071456666788685,0.3453967864548993,0.12059741764653625,-0.007253531849204145,0.13847105135663226,1.0,0.04582503142098788,0.10075875139924899,0.02828872722524471,0.48554074450785767,0.08375586367207885,0.17576288955561156,0.0664097452413369,0.1089499138762561,-0.03708964077524968,0.38483688956734424,0.11398333910597754,0.06253464413671916,0.17493552930500283
poi_density_Recreational Facility,0.02711820117909626,0.06474714604091196,0.0149679133166817,-0.010123343538995272,0.034692695395811074,0.08980999818490738,0.07513766561977098,0.16217109100276209,0.13204260610241628,0.08745004263151773,0.04582503142098788,1.0,0.1035973182144022,0.11707983694240749,0.0007087768248779425,0.03210528114185151,0.10908678451459808,-0.004464035909928194,0.07394498512890309,0.001226792583775397,0.20652176941735237,0.09375967416045376,0.06394415479682843,-0.08365613957739183
poi_density_Social Services,0.0890715093785865,0.17150335414840645,0.09635115455177302,0.07197650965465666,0.08936695588725271,0.20011592819669544,0.1755978975701174,0.29434264321028086,0.363785594934297,0.1677040943686907,0.10075875139924899,0.1035973182144022,1.0,-0.006286192394685364,0.06299865651111405,0.029942377301605295,0.23406898780666996,0.07496874742854506,0.08457481739227929,-0.06430805241319211,0.2886109665592207,0.3461183022263708,0.09531568966572374,-0.07361382998765065
poi_density_Transportation Facility,0.057835325168506736,0.04624544877090066,0.08190719630017484,0.0587904983827726,0.046782589391453355,0.045271028115003116,0.047382921683065134,0.0038126098691163707,0.023548098464713285,0.005881300354906366,0.02828872722524471,0.11707983694240749,-0.006286192394685364,1.0,0.08241757647415193,0.055086019119703254,-0.044163993751522884,0.03556056141701126,0.026606267286844808,0.004483731135531988,0.11413245445493338,0.017810817793507253,-0.03037478010048993,0.06934603332939249
poi_density_Commercial,0.23715780014008775,0.27533197162439554,0.4001819531902948,0.19021201048916372,0.30758182834673425,0.3707212884989551,0.38216351753696126,0.07918813096391675,-0.018987413272247657,0.03601791206570906,0.48554074450785767,0.0007087768248779425,0.06299865651111405,0.08241757647415193,1.0,0.20368186147269038,0.10800259369488395,0.07848790132501741,0.07712888983275891,-0.03944793711027738,0.40763531441503714,0.02103147724134421,0.06625179767425496,0.22853507972986997
poi_density_Government Facility,0.058472636905322346,0.07413035019231397,0.11239051240178705,0.05544389278084175,0.07700508097339924,0.0956191800732281,0.09626162207691513,0.03934971243944156,0.0005790018524714513,0.028084964601706047,0.08375586367207885,0.03210528114185151,0.029942377301605295,0.055086019119703254,0.20368186147269038,1.0,0.06324492656777368,0.05049274991064994,0.05509139129673074,-0.026137381228953652,0.15448533768680098,0.07749777732405776,0.02688177845346742,0.11260713887738226
poi_density_Religious Institution,0.12667301896504318,0.24086054339201074,0.1580111249235241,0.07528969655679395,0.13949065923078696,0.25833847330727877,0.24610048075067673,0.22085229516206936,0.05282373289807288,0.215460430554869,0.17576288955561156,0.10908678451459808,0.23406898780666996,-0.044163993751522884,0.10800259369488395,0.06324492656777368,1.0,0.024483704665712872,0.09346028510544868,-0.045573090098435146,0.3272850160974626,0.30373103798499934,0.11197080472117067,0.12369521586059043
poi_density_Health Services,0.02637986496149496,0.05710041209658027,0.03471264660653296,0.0021353426920537413,0.02268338056338368,0.04538808062877179,0.03560410381222966,0.10137512904324414,0.03115747575145387,0.1359519998192973,0.0664097452413369,-0.004464035909928194,0.07496874742854506,0.03556056141701126,0.07848790132501741,0.05049274991064994,0.024483704665712872,1.0,0.037561892086069464,-0.037445597260750876,0.11612363094129838,0.0647641608481814,0.03885934142509085,0.002991325245869351
poi_density_Public Safety,0.08810752701531875,0.13028625815847533,0.13438773914291027,0.11839868152331519,0.1093399278558565,0.2289505242820608,0.2125907610333237,0.24092522305166797,0.06515508600605488,0.07687519404935345,0.1089499138762561,0.07394498512890309,0.08457481739227929,0.026606267286844808,0.07712888983275891,0.05509139129673074,0.09346028510544868,0.037561892086069464,1.0,0.00016931171177233788,0.21073009861797062,0.08943089022257447,0.10002607219740839,0.01206959818825016
road_density,-0.010318283547233511,-0.03855839051528668,-0.0485533405128618,-0.01495042333181683,-0.018129891694336698,-0.12831627833464615,-0.1187966649528749,-0.1379022897080337,-0.07784276609456207,-0.0818026258464982,-0.03708964077524968,0.001226792583775397,-0.06430805241319211,0.004483731135531988,-0.03944793711027738,-0.026137381228953652,-0.045573090098435146,-0.037445597260750876,0.00016931171177233788,1.0,-0.17684528393935245,-0.18915191953460436,-0.0043875702698257454,0.17396513764505883
neighboring_crime_density,0.34125470421534304,0.48955068508812033,0.39807827334627904,0.24095704434974943,0.33171376251664764,0.5897557375071836,0.5645707887733332,0.48161419571970004,0.13120132119580216,0.3101604154675271,0.38483688956734424,0.20652176941735237,0.2886109665592207,0.11413245445493338,0.40763531441503714,0.15448533768680098,0.3272850160974626,0.11612363094129838,0.21073009861797062,-0.17684528393935245,1.0,0.5192594310917135,0.2633510220429897,0.1433146190566115
population_density,0.1613036718972172,0.3542791057777501,0.10136594727647111,0.0684102496152201,0.10662875114695895,0.4158457936209029,0.37827156000437695,0.5020205634814668,0.19992272361208838,0.2334598043534775,0.11398333910597754,0.09375967416045376,0.3461183022263708,0.017810817793507253,0.02103147724134421,0.07749777732405776,0.30373103798499934,0.0647641608481814,0.08943089022257447,-0.18915191953460436,0.5192594310917135,1.0,0.19533787097928873,0.04084603228884684
youth_population_pct,0.12871227162686655,0.19907658885338297,0.11948320353038566,0.07662031336498021,0.12625152280597018,0.20862349266511238,0.1942146316670171,0.21544955248954667,0.06517754078786445,0.30375600281412485,0.06253464413671916,0.06394415479682843,0.09531568966572374,-0.03037478010048993,0.06625179767425496,0.02688177845346742,0.11197080472117067,0.03885934142509085,0.10002607219740839,-0.0043875702698257454,0.2633510220429897,0.19533787097928873,1.0,-0.007689670587285999
income_level,0.1202588259572659,0.1064954174166495,0.20057582376673586,0.07152468203368093,0.12982919512446225,0.10826437208373642,0.14719275152370254,-0.2685744603089273,-0.2179401553920433,0.09416851042864967,0.17493552930500283,-0.08365613957739183,-0.07361382998765065,0.06934603332939249,0.22853507972986997,0.11260713887738226,0.12369521586059043,0.002991325245869351,0.01206959818825016,0.17396513764505883,0.1433146190566115,0.04084603228884684,-0.007689670587285999,1.0
